,SMILES,RT,Speed,i-PrOH_proportion,Literature
68,C[C@@H](CC(=O)NC(C)(C)c1ccccn1)c2ccc(cc2)C(C)=O,6.8,1.0,0.3,10.1039/D1CC01690C
69,C[C@H](CC(=O)NC(C)(C)c1ccccn1)c2ccc(cc2)C(C)=O,6.1,1.0,0.3,10.1039/D1CC01690C
70,C[C@H]\1CC(=O)N(C1=C/c2cccc(C)c2)C(C)(C)c3ccccn3,6.9,0.8,0.1,10.1002/anie.202004504
71,C[C@@H]\1CC(=O)N(C1=C/c2cccc(C)c2)C(C)(C)c3ccccn3,6.1,0.8,0.1,10.1002/anie.202004504
72,C[C@H]\1CC(=O)N(C1=C/c2ccccc2C)C(C)(C)c3ccccn3,7.3,0.8,0.1,10.1002/anie.202004504
73,C[C@@H]\1CC(=O)N(C1=C/c2ccccc2C)C(C)(C)c3ccccn3,6.1,0.8,0.1,10.1002/anie.202004504
74,C[C@H](C#N)c1ccc(Cl)cc1,7.1,1.0,0.05,10.1002/anie.201906111
75,C[C@@H](C#N)c1ccc(Cl)cc1,6.1,1.0,0.05,10.1002/anie.201906111
76,C[C@@H](CC(=O)NC(C)(C)c1ccccn1)c2ccc(cc2)C(C)=O,7.0,0.7,0.4,10.1002/anie.201804197
77,C[C@H](CC(=O)NC(C)(C)c1ccccn1)c2ccc(cc2)C(C)=O,6.2,0.7,0.4,10.1002/anie.201804197
78,C[C@@H](C#Cc1sccc1)c2ccccc2C(=O)NC(C)(C)C,8.4,0.8,0.1,10.1038/s41467/019/13705/1
79,C[C@H](C#Cc1sccc1)c2ccccc2C(=O)NC(C)(C)C,6.24,0.8,0.1,10.1038/s41467/019/13705/1
80,C[C@@H](C#Cc1ccccc1)c2ccc(C)cc2C(=O)NC(C)(C)C,14.59,0.8,0.1,10.1038/s41467/019/13705/1
81,C[C@H](C#Cc1ccccc1)c2ccc(C)cc2C(=O)NC(C)(C)C,6.26,0.8,0.1,10.1038/s41467/019/13705/1
82,CC(C)(C)NC(=O)[C@H](OC(=O)c1ccccc1)c2cccc(c2)[N+]([O-])=O,7.6,1.0,0.2,10.1021/jacs.5b09117
83,CC(C)(C)NC(=O)[C@@H](OC(=O)c1ccccc1)c2cccc(c2)[N+]([O-])=O,6.3,1.0,0.2,10.1021/jacs.5b09117
84,Cn1c2ccccc2c3CCC[C@H](CC=O)c13,9.2,1.0,0.25,10.1002/cctc.201000379
85,Cn1c2ccccc2c3CCC[C@@H](CC=O)c13,6.4,1.0,0.25,10.1002/cctc.201000379
86,C[C@@H](C#Cc1ccc(F)cc1)c2ccccc2C(=O)NC(C)(C)C,12.19,0.8,0.1,10.1038/s41467/019/13705/1
87,C[C@H](C#Cc1ccc(F)cc1)c2ccccc2C(=O)NC(C)(C)C,6.45,0.8,0.1,10.1038/s41467/019/13705/1
88,C[C@@H](C#Cc1ccc(Cl)cc1)c2ccccc2C(=O)NC(C)(C)C,14.36,0.8,0.1,10.1038/s41467/019/13705/1
89,C[C@H](C#Cc1ccc(Cl)cc1)c2ccccc2C(=O)NC(C)(C)C,6.46,0.8,0.1,10.1038/s41467/019/13705/1
90,COc1cccc(c1)[C@]2(CC=C)C(=O)N(C(=O)OC(C)(C)C)c3ccccc23,5.9,1.0,0.1,10.1002/adsc.201501155
91,COc1cccc(c1)[C@@]2(CC=C)C(=O)N(C(=O)OC(C)(C)C)c3ccccc23,6.5,1.0,0.1,10.1002/adsc.201501155
92,CC(C)(C)NC(=O)c1ccccc1[C@@H](Cc2ccccc2)C#Cc3ccccc3,9.66,0.8,0.1,10.1038/s41467/019/13705/1
93,CC(C)(C)NC(=O)c1ccccc1[C@H](Cc2ccccc2)C#Cc3ccccc3,6.52,0.8,0.1,10.1038/s41467/019/13705/1
94,C[C@@H](C#Cc1ccc(cc1)C#C)c2ccccc2C(=O)NC(C)(C)C,12.38,0.8,0.1,10.1038/s41467/019/13705/1
95,C[C@H](C#Cc1ccc(cc1)C#C)c2ccccc2C(=O)NC(C)(C)C,6.53,0.8,0.1,10.1038/s41467/019/13705/1
96,C[C@@H](C#Cc1ccc(Br)cc1)c2ccccc2C(=O)NC(C)(C)C,15.87,0.8,0.1,10.1038/s41467/019/13705/1
97,C[C@H](C#Cc1ccc(Br)cc1)c2ccccc2C(=O)NC(C)(C)C,6.6,0.8,0.1,10.1038/s41467/019/13705/1
98,COc1ccc(C#C[Si](C(C)C)(C(C)C)C(C)C)c(c1)[S@@](=O)c2ccccn2,5.8,0.8,0.15,10.1021/acs.orglett.1c02918
99,COc1ccc(C#C[Si](C(C)C)(C(C)C)C(C)C)c(c1)[S@](=O)c2ccccn2,6.6,0.8,0.15,10.1021/acs.orglett.1c02918
100,CCCCCCCC/C=C/CCCCC[C@@H](CC(=O)NC(C)(C)c1ccccn1)C#C[Si](C(C)C)(C(C)C)C(C)C,4.3,0.8,0.04,10.1021/jacs.9b01124
101,CCCCCCCC/C=C/CCCCC[C@H](CC(=O)NC(C)(C)c1ccccn1)C#C[Si](C(C)C)(C(C)C)C(C)C,6.7,0.8,0.04,10.1021/jacs.9b01124
102,CCC[C@@H](CC(=O)NC(C)(C)c1ccccn1)C#C[Si](C(C)C)(C(C)C)C(C)C,4.3,0.9,0.05,10.1021/jacs.9b01124
103,CCC[C@H](CC(=O)NC(C)(C)c1ccccn1)C#C[Si](C(C)C)(C(C)C)C(C)C,6.7,0.9,0.05,10.1021/jacs.9b01124
104,CC(C)c1ccc(cc1)\C=C2/[C@@H](C)CC(=O)N2C(C)(C)c3ccccn3,7.6,0.8,0.1,10.1002/anie.202004504
105,CC(C)c1ccc(cc1)\C=C2/[C@H](C)CC(=O)N2C(C)(C)c3ccccn3,6.8,0.8,0.1,10.1002/anie.202004504
106,COC(=O)C[C@@H]1CCN(c2ccccc12)[S](=O)(=O)c3ccc(C)cc3,7.6,1.0,0.2,10.1039/D1QO00302J
107,COC(=O)C[C@H]1CCN(c2ccccc12)[S](=O)(=O)c3ccc(C)cc3,6.8,1.0,0.2,10.1039/D1QO00302J
108,C[C@H]\1CC(=O)N(C1=C/c2ccccc2F)C(C)(C)c3ccccn3,7.9,0.8,0.1,10.1002/anie.202004504
109,C[C@@H]\1CC(=O)N(C1=C/c2ccccc2F)C(C)(C)c3ccccn3,6.8,0.8,0.1,10.1002/anie.202004504
110,CO[C@H](NC(=O)c1ccccc1)c2ccc(Cl)cc2CCCC(F)(F)F,8.26,1.0,0.1,10.1002/anie.201405401
111,CO[C@@H](NC(=O)c1ccccc1)c2ccc(Cl)cc2CCCC(F)(F)F,6.89,1.0,0.1,10.1002/anie.201405401
112,C[C@@H](CC(=O)NC(C)(C)c1ccccn1)c2cn(c3ccccc23)[S](=O)(=O)c4ccc(C)cc4,5.5,1.0,0.3,10.1039/D1CC01690C
113,C[C@H](CC(=O)NC(C)(C)c1ccccn1)c2cn(c3ccccc23)[S](=O)(=O)c4ccc(C)cc4,6.9,1.0,0.3,10.1039/D1CC01690C
114,C[C@H]\1CC(=O)N(C1=C/c2ccc(C)cc2)C(C)(C)c3ccccn3,8.1,0.8,0.1,10.1002/anie.202004504
115,C[C@@H]\1CC(=O)N(C1=C/c2ccc(C)cc2)C(C)(C)c3ccccn3,6.9,0.8,0.1,10.1002/anie.202004504
116,C[C@@H](C#CC1CC1)c2ccccc2C(=O)NC(C)(C)C,10.08,0.8,0.05,10.1038/s41467/019/13705/1
117,C[C@H](C#CC1CC1)c2ccccc2C(=O)NC(C)(C)C,6.98,0.8,0.05,10.1038/s41467/019/13705/1
118,Cc1ccc(cc1)\C=C2/[C@@H](CCC3CCCCC3)CC(=O)N2C(C)(C)c4ccccn4,10.3,0.8,0.05,10.1002/anie.202004504
119,Cc1ccc(cc1)\C=C2/[C@H](CCC3CCCCC3)CC(=O)N2C(C)(C)c4ccccn4,7.0,0.8,0.05,10.1002/anie.202004504
120,COc1ccc2N(C(=O)OC(C)(C)C)C(=O)[C@@](CC=C)(c3ccccc3)c2c1,8.1,1.0,0.1,10.1002/adsc.201501155
121,COc1ccc2N(C(=O)OC(C)(C)C)C(=O)[C@](CC=C)(c3ccccc3)c2c1,7.0,1.0,0.1,10.1002/adsc.201501155
122,CO[C@H](NC(=O)c1ccccc1)c2ccc(F)cc2CCCC(F)(F)F,8.29,1.0,0.1,10.1002/anie.201405401
123,CO[C@@H](NC(=O)c1ccccc1)c2ccc(F)cc2CCCC(F)(F)F,7.05,1.0,0.1,10.1002/anie.201405401
124,CO[C@H](NC(=O)c1ccccc1)c2ccccc2CCCC(F)(F)F,7.94,1.0,0.1,10.1002/anie.201405401
125,CO[C@@H](NC(=O)c1ccccc1)c2ccccc2CCCC(F)(F)F,7.07,1.0,0.1,10.1002/anie.201405401
126,C[C@@H](C#Cc1ccccc1Cl)c2ccccc2C(=O)NC(C)(C)C,8.73,0.8,0.05,10.1038/s41467/019/13705/1
127,C[C@H](C#Cc1ccccc1Cl)c2ccccc2C(=O)NC(C)(C)C,7.07,0.8,0.05,10.1038/s41467/019/13705/1
128,C[C@@H](C#Cc1sccc1)c2ccccc2C(=O)NC(C)(C)C,14.33,0.8,0.1,10.1038/s41467/019/13705/1
129,C[C@H](C#Cc1sccc1)c2ccccc2C(=O)NC(C)(C)C,7.09,0.8,0.1,10.1038/s41467/019/13705/1
