,Unnamed: 0,SMILES,RT,Speed,i-PrOH_proportion,Literature,Column
2879,2879,C[Si](C)(C)[Si](C[C@]1(CC2(CCCCCC2)CN1C(=O)Nc3cccc(Cl)c3)c4ccccc4)([Si](C)(C)C)[Si](C)(C)C,9.86,0.7,0.02,10.1007/s11426/019/9528/2,AD3
2880,2880,C[Si](C)(C)[Si](C[C@@]1(CC2(CCCCCC2)CN1C(=O)Nc3cccc(Cl)c3)c4ccccc4)([Si](C)(C)C)[Si](C)(C)C,14.14,0.7,0.02,10.1007/s11426/019/9528/2,AD3
2913,2913,COc1cccc(c1)[C@]2(CC(F)(F)F)CC(C)(C)CN2C(=O)Nc3cccc(c3)C(F)(F)F,10.61,0.5,0.1,10.1021/jacs.6b04077,AD3
2914,2914,COc1cccc(c1)[C@@]2(CC(F)(F)F)CC(C)(C)CN2C(=O)Nc3cccc(c3)C(F)(F)F,14.25,0.5,0.1,10.1021/jacs.6b04077,AD3
2952,2952,C[C@@H](C(O)=O)c1ccc(C)cc1,12.7,0.8,0.03,10.1038/s41467/020/17057/z,AD3
2953,2953,C[C@H](C(O)=O)c1ccc(C)cc1,14.4,0.8,0.03,10.1038/s41467/020/17057/z,AD3
2954,2954,O=C1CC[C@@H](N1)c2ccc3ccccc3c2,15.6,0.8,0.1,10.1021/acs.orglett.0c00669,AD3
2955,2955,O=C1CC[C@H](N1)c2ccc3ccccc3c2,14.4,0.8,0.1,10.1021/acs.orglett.0c00669,AD3
2956,2956,CCOC(OCC)[C@@H](N)c1ccc(F)cc1,16.3,0.8,0.05,10.1039/D1CC06601C,AD3
2957,2957,CCOC(OCC)[C@H](N)c1ccc(F)cc1,14.4,0.8,0.05,10.1039/D1CC06601C,AD3
2985,2985,COc1ccc(C[C@H](C(C)C)C(O)=O)cc1,12.8,1.0,0.03,10.31635/ccschem.020.202000176,AD3
2986,2986,COc1ccc(C[C@@H](C(C)C)C(O)=O)cc1,14.5,1.0,0.03,10.31635/ccschem.020.202000176,AD3
3009,3009,CCOC(=O)c1cccc(c1)[C@]2(CN3CCOCC3)CC(C)(C)CN2C(=O)Nc4cc(cc(c4)C(F)(F)F)C(F)(F)F,15.96,0.5,0.05,10.1016/j.chempr.2017.10.008,AD3
3010,3010,CCOC(=O)c1cccc(c1)[C@@]2(CN3CCOCC3)CC(C)(C)CN2C(=O)Nc4cc(cc(c4)C(F)(F)F)C(F)(F)F,14.59,0.5,0.05,10.1016/j.chempr.2017.10.008,AD3
3029,3029,CC[C@@H]1NC(=O)c2ccccc2c3ccccc13,21.4,0.8,0.2,10.1021/acs.orglett.0c02282,AD3
3030,3030,CC[C@H]1NC(=O)c2ccccc2c3ccccc13,14.6,0.8,0.2,10.1021/acs.orglett.0c02282,AD3
