,Unnamed: 0,SMILES,RT,Speed,i-PrOH_proportion,Literature,Column
1375,1375,CC(C)(C)O[P](=O)(OC(C)(C)C)C(=[N+]=[N-])[C@H](c1ccccc1)c2c[nH]c3cc(Br)ccc23,9.5,0.5,0.3,10.1021/acs.orglett.2c00213,IC
1435,1435,C[C@@H](C#Cc1ccccc1)c2cccc(C=O)c2,8.8,1.0,0.03,10.1038/s41557/019/0346/2,IC
1436,1436,C[C@H](C#Cc1ccccc1)c2cccc(C=O)c2,9.63,1.0,0.03,10.1038/s41557/019/0346/2,IC
1461,1461,Fc1ccccc1C(=O)[C@]2(OCCC[C@H]2Br)c3ccccc3F,12.34,1.0,0.1,10.1021/ja201794v,IC
1462,1462,Fc1ccccc1C(=O)[C@@]2(OCCC[C@H]2Br)c3ccccc3F,9.79,1.0,0.1,10.1021/ja201794v,IC
1512,1512,F[C@H]1CCCO[C@]1(C(=O)c2ccc3ccccc3c2)c4ccc5ccccc5c4,12.74,1.0,0.1,10.1002/chem.201202444,IC
1513,1513,F[C@@H]1CCCO[C@]1(C(=O)c2ccc3ccccc3c2)c4ccc5ccccc5c4,9.95,1.0,0.1,10.1002/chem.201202444,IC
1526,1526,CC(C)(C)O[P](=O)(OC(C)(C)C)C(=[N+]=[N-])[C@@H](c1ccc(F)cc1)c2c[nH]c3ccccc23,7.8,0.5,0.3,10.1021/acs.orglett.2c00213,IC
1527,1527,CC(C)(C)O[P](=O)(OC(C)(C)C)C(=[N+]=[N-])[C@H](c1ccc(F)cc1)c2c[nH]c3ccccc23,10.0,0.5,0.3,10.1021/acs.orglett.2c00213,IC
1552,1552,CC(C)(C)O[P](=O)(OC(C)(C)C)C(=[N+]=[N-])[C@@H](c1cccc(Cl)c1)c2c[nH]c3ccccc23,8.8,0.5,0.3,10.1021/acs.orglett.2c00213,IC
1553,1553,CC(C)(C)O[P](=O)(OC(C)(C)C)C(=[N+]=[N-])[C@H](c1cccc(Cl)c1)c2c[nH]c3ccccc23,10.1,0.5,0.3,10.1021/acs.orglett.2c00213,IC
1690,1690,CC(C)(C)CC(C)(C)NC(=O)[C@H](OC(=O)C(c1ccccc1)(c2ccccc2)c3ccccc3)c4cccc(c4)[N+]([O-])=O,6.2,1.0,0.3,10.1021/jacs.5b09117,IC
1691,1691,CC(C)(C)CC(C)(C)NC(=O)[C@@H](OC(=O)C(c1ccccc1)(c2ccccc2)c3ccccc3)c4cccc(c4)[N+]([O-])=O,10.5,1.0,0.3,10.1021/jacs.5b09117,IC
1694,1694,CC(C)O[P](=O)(OC(C)C)C(=[N+]=[N-])[C@@H](c1ccccc1)c2c[nH]c3ccccc23,8.9,0.5,0.3,10.1021/acs.orglett.2c00213,IC
1695,1695,CC(C)O[P](=O)(OC(C)C)C(=[N+]=[N-])[C@H](c1ccccc1)c2c[nH]c3ccccc23,10.5,0.5,0.3,10.1021/acs.orglett.2c00213,IC
1768,1768,C[C@H](CCCCN1C(=O)c2ccccc2C1=O)c3ccc(Cl)c(F)c3c4ccc(cn4)c5cc(cc(c5)C(F)(F)F)C(F)(F)F,9.26,0.7,0.2,10.1021/jacs.1c08562,IC
1769,1769,C[C@@H](CCCCN1C(=O)c2ccccc2C1=O)c3ccc(Cl)c(F)c3c4ccc(cn4)c5cc(cc(c5)C(F)(F)F)C(F)(F)F,10.7,0.7,0.2,10.1021/jacs.1c08562,IC
1898,1898,COc1ccc(cc1)C(/C)=C/[C@@H]2CC(CN2C(=S)Nc3cc(cc(c3)C(F)(F)F)C(F)(F)F)(c4ccccc4)c5ccccc5,7.64,1.0,0.1,10.1002/anie.201900955,IC
1899,1899,COc1ccc(cc1)C(/C)=C/[C@H]2CC(CN2C(=S)Nc3cc(cc(c3)C(F)(F)F)C(F)(F)F)(c4ccccc4)c5ccccc5,11.04,1.0,0.1,10.1002/anie.201900955,IC
1906,1906,C\C(=C/[C@@H]1CC(CN1C(=S)Nc2cccc(c2)C(F)(F)F)(c3ccccc3)c4ccccc4)c5ccccc5,7.35,1.0,0.2,10.1002/anie.201900955,IC
1907,1907,C\C(=C/[C@H]1CC(CN1C(=S)Nc2cccc(c2)C(F)(F)F)(c3ccccc3)c4ccccc4)c5ccccc5,11.09,1.0,0.2,10.1002/anie.201900955,IC
1914,1914,CC(=O)c1ccccc1C(=O)O[C@@H](C(=O)NC(C)(C)C)c2ccc(cc2)C(F)(F)F,7.3,1.0,0.3,10.1021/jacs.5b09117,IC
1915,1915,CC(=O)c1ccccc1C(=O)O[C@H](C(=O)NC(C)(C)C)c2ccc(cc2)C(F)(F)F,11.1,1.0,0.3,10.1021/jacs.5b09117,IC
1916,1916,CC(C)(C)O[P](=O)(OC(C)(C)C)C(=[N+]=[N-])[C@@H](c1sccc1)c2c[nH]c3ccccc23,10.0,0.5,0.3,10.1021/acs.orglett.2c00213,IC
1917,1917,CC(C)(C)O[P](=O)(OC(C)(C)C)C(=[N+]=[N-])[C@H](c1sccc1)c2c[nH]c3ccccc23,11.1,0.5,0.3,10.1021/acs.orglett.2c00213,IC
1924,1924,CC(C)[Si](C#Cc1cc(O)ccc1[S@@](=O)c2ccccn2)(C(C)C)C(C)C,9.8,0.8,0.15,10.1021/acs.orglett.1c02918,IC
1925,1925,CC(C)[Si](C#Cc1cc(O)ccc1[S@](=O)c2ccccn2)(C(C)C)C(C)C,11.1,0.8,0.15,10.1021/acs.orglett.1c02918,IC
1959,1959,CC[C@@H](C#Cc1ccccc1)c2cncnc2,13.73,1.0,0.1,10.1038/s41557/019/0346/2,IC
1960,1960,CC[C@H](C#Cc1ccccc1)c2cncnc2,11.17,1.0,0.1,10.1038/s41557/019/0346/2,IC
1965,1965,CC(C)(C)O[P](=O)(OC(C)(C)C)C(=[N+]=[N-])[C@H](c1ccccc1Cl)c2c[nH]c3ccccc23,8.2,0.5,0.3,10.1021/acs.orglett.2c00213,IC
1966,1966,CC(C)(C)O[P](=O)(OC(C)(C)C)C(=[N+]=[N-])[C@@H](c1ccccc1Cl)c2c[nH]c3ccccc23,11.2,0.5,0.3,10.1021/acs.orglett.2c00213,IC
2060,2060,CO[P](=O)(OC)C(=[N+]=[N-])[C@@H]1N(c2ccccc2)C(=Cc3ccccc13)c4ccc(OC(F)(F)F)cc4,10.6,0.5,0.3,10.1021/acs.orglett.1c02433,IC
2061,2061,CO[P](=O)(OC)C(=[N+]=[N-])[C@H]1N(c2ccccc2)C(=Cc3ccccc13)c4ccc(OC(F)(F)F)cc4,11.5,0.5,0.3,10.1021/acs.orglett.1c02433,IC
2084,2084,Cc1ccc(cc1)[C@H](C#C)[C](=[C]=[CH2])C(=O)OCc2ccccc2,10.59,1.0,0.01,10.1021/jacs.7b08207,IC
2085,2085,Cc1ccc(cc1)[C@@H](C#C)[C](=[C]=[CH2])C(=O)OCc2ccccc2,11.57,1.0,0.01,10.1021/jacs.7b08207,IC
2107,2107,CO[P](=O)(OC)C(=[N+]=[N-])[C@@]1(C)OC(=Cc2ccccc12)c3ccc(cc3)C(F)(F)F,12.408,0.5,0.3,10.1021/acs.orglett.9b02864,IC
2108,2108,CO[P](=O)(OC)C(=[N+]=[N-])[C@]1(C)OC(=Cc2ccccc12)c3ccc(cc3)C(F)(F)F,11.663,0.5,0.3,10.1021/acs.orglett.9b02864,IC
2116,2116,Cc1ccccc1[C@@H](c2c[nH]c3ccccc23)C(=[N+]=[N-])[P](=O)(OC(C)(C)C)OC(C)(C)C,7.8,0.5,0.3,10.1021/acs.orglett.2c00213,IC
2117,2117,Cc1ccccc1[C@H](c2c[nH]c3ccccc23)C(=[N+]=[N-])[P](=O)(OC(C)(C)C)OC(C)(C)C,11.7,0.5,0.3,10.1021/acs.orglett.2c00213,IC
2118,2118,CC(C)(C)O[P](=O)(OC(C)(C)C)C(=[N+]=[N-])[C@@H](c1ccccc1Br)c2c[nH]c3ccccc23,8.6,0.5,0.3,10.1021/acs.orglett.2c00213,IC
2119,2119,CC(C)(C)O[P](=O)(OC(C)(C)C)C(=[N+]=[N-])[C@H](c1ccccc1Br)c2c[nH]c3ccccc23,11.7,0.5,0.3,10.1021/acs.orglett.2c00213,IC
2179,2179,CCO[P](=O)(OCC)C(=[N+]=[N-])[C@@H](c1ccccc1)c2c[nH]c3ccccc23,10.3,0.5,0.3,10.1021/acs.orglett.2c00213,IC
2180,2180,CCO[P](=O)(OCC)C(=[N+]=[N-])[C@H](c1ccccc1)c2c[nH]c3ccccc23,11.8,0.5,0.3,10.1021/acs.orglett.2c00213,IC
