,Unnamed: 0,SMILES,RT,Speed,i-PrOH_proportion,Literature,Column
2318,2318,COc1ccc(CN2CC\C(=C/C[C@@](C)(C(=O)OC2=O)c3ccc(F)cc3)c4ccccc4)cc1,16.26,1.0,0.3,10.1002/anie.202005313,AD
2319,2319,COc1ccc(CN2CC\C(=C/C[C@](C)(C(=O)OC2=O)c3ccc(F)cc3)c4ccccc4)cc1,12.25,1.0,0.3,10.1002/anie.202005313,AD
2324,2324,Cc1ccc2[C@@H](CCO)CCCCn12,13.74,1.0,0.05,10.1016/j.tetlet.2018.09.061,AD
2325,2325,Cc1ccc2[C@H](CCO)CCCCn12,12.26,1.0,0.05,10.1016/j.tetlet.2018.09.061,AD
2338,2338,F[C@@H]1CCO[C@@]1(C(=O)c2ccccc2)c3ccccc3,7.4,1.0,0.1,10.1002/chem.201202444,AD
2366,2366,CC(C)(C)OC(=O)N1CCC(CC[C@H](C#N)c2ccc(cc2)c3ccccc3)(CC1)CC#N,9.58,1.0,0.2,10.1038/s41467/021/22127/x,AD
2367,2367,CC(C)(C)OC(=O)N1CCC(CC[C@@H](C#N)c2ccc(cc2)c3ccccc3)(CC1)CC#N,12.4,1.0,0.2,10.1038/s41467/021/22127/x,AD
2372,2372,C[C@]1(CC=C(COC1=O)c2ccc(cc2)C(F)(F)F)c3ccccc3,13.77,1.0,0.012048,10.1021/jacs.8b12095,AD
2373,2373,C[C@@]1(CC=C(COC1=O)c2ccc(cc2)C(F)(F)F)c3ccccc3,12.42,1.0,0.012048,10.1021/jacs.8b12095,AD
2405,2405,CCOC(=O)[C@](C[N+]([O-])=O)(Sc1ccc2ccccc2c1)C3CCCCC3,11.27,1.0,0.05,10.1021/ol901572x,AD
2406,2406,CCOC(=O)[C@@](C[N+]([O-])=O)(Sc1ccc2ccccc2c1)C3CCCCC3,12.52,1.0,0.05,10.1021/ol901572x,AD
2553,2553,C[C@]1(CCO)CCCn2ccc(c3ccccc3)c12,14.28,1.0,0.1,10.1016/j.tetlet.2018.09.061,AD
